tubeID,type,temp,block,replicate,tray,pair,i,j,densityT,FocalSp,i.ind,FocalSp_Den,OtherSp,j.ind,OtherSp_Den,obs_count
595,intra,HOT,HOTA,HOTA2,HOT_T1,SUL_NaN,SUL,NaN,i4j0,SUL,5,8,NA,0,0,78
596,intra,HOT,HOTA,HOTA2,HOT_T1,SUL_NaN,SUL,NaN,i8j0,SUL,5,16,NA,0,0,62
597,intra,HOT,HOTA,HOTA3,HOT_T1,SUL_NaN,SUL,NaN,i2j0,SUL,5,4,NA,0,0,32
598,intra,HOT,HOTA,HOTA3,HOT_T1,SUL_NaN,SUL,NaN,i4j0,SUL,5,8,NA,0,0,56
599,intra,HOT,HOTA,HOTA3,HOT_T1,SUL_NaN,SUL,NaN,i8j0,SUL,5,16,NA,0,0,65
600,intra,HOT,HOTB,HOTB4,HOT_EXTRA,SUL_NaN,SUL,NaN,i2j0,SUL,5,4,NA,0,0,39
601,intra,HOT,HOTB,HOTB4,HOT_EXTRA,SUL_NaN,SUL,NaN,i4j0,SUL,5,8,NA,0,0,49
602,intra,HOT,HOTB,HOTB4,HOT_EXTRA,SUL_NaN,SUL,NaN,i8j0,SUL,5,16,NA,0,0,74
603,intra,HOT,HOTB,HOTB5,HOT_EXTRA,SUL_NaN,SUL,NaN,i2j0,SUL,5,4,NA,0,0,26
604,intra,HOT,HOTB,HOTB5,HOT_EXTRA,SUL_NaN,SUL,NaN,i4j0,SUL,5,8,NA,0,0,67
605,intra,HOT,HOTB,HOTB5,HOT_EXTRA,SUL_NaN,SUL,NaN,i8j0,SUL,5,16,NA,0,0,56
606,intra,HOT,HOTB,HOTB6,HOT_EXTRA,SUL_NaN,SUL,NaN,i2j0,SUL,5,4,NA,0,0,43
607,intra,HOT,HOTB,HOTB6,HOT_EXTRA,SUL_NaN,SUL,NaN,i4j0,SUL,5,8,NA,0,0,22
608,intra,HOT,HOTB,HOTB6,HOT_EXTRA,SUL_NaN,SUL,NaN,i8j0,SUL,5,16,NA,0,0,75
609,intra,HOT,HOTB,HOTB7,HOT_EXTRA,SUL_NaN,SUL,NaN,i2j0,SUL,5,4,NA,0,0,35
610,intra,HOT,HOTB,HOTB7,HOT_EXTRA,SUL_NaN,SUL,NaN,i4j0,SUL,5,8,NA,0,0,62
611,intra,HOT,HOTB,HOTB7,HOT_EXTRA,SUL_NaN,SUL,NaN,i8j0,SUL,5,16,NA,0,0,21
612,intra,HOT,HOTC,HOTC8,HOT_T6,SUL_NaN,SUL,NaN,i2j0,SUL,5,4,NA,0,0,36
613,intra,HOT,HOTC,HOTC8,HOT_T6,SUL_NaN,SUL,NaN,i4j0,SUL,5,8,NA,0,0,58
614,intra,HOT,HOTC,HOTC8,HOT_T6,SUL_NaN,SUL,NaN,i8j0,SUL,5,16,NA,0,0,56
615,intra,HOT,HOTC,HOTC9,HOT_T6,SUL_NaN,SUL,NaN,i2j0,SUL,5,4,NA,0,0,6
616,intra,HOT,HOTC,HOTC9,HOT_T6,SUL_NaN,SUL,NaN,i4j0,SUL,5,8,NA,0,0,35
617,intra,HOT,HOTC,HOTC9,HOT_T6,SUL_NaN,SUL,NaN,i8j0,SUL,5,16,NA,0,0,42
618,intra,HOT,HOTC,HOTC10,HOT_T6,SUL_NaN,SUL,NaN,i2j0,SUL,5,4,NA,0,0,16
619,intra,HOT,HOTC,HOTC10,HOT_T6,SUL_NaN,SUL,NaN,i4j0,SUL,5,8,NA,0,0,19
620,intra,HOT,HOTC,HOTC10,HOT_T6,SUL_NaN,SUL,NaN,i8j0,SUL,5,16,NA,0,0,68
621,intra,HOT,HOTA,HOTA1,HOT_T2,PST_NaN,PST,NaN,i2j0,PST,4,4,NA,0,0,0
622,intra,HOT,HOTA,HOTA1,HOT_T2,PST_NaN,PST,NaN,i4j0,PST,4,8,NA,0,0,0
623,intra,HOT,HOTA,HOTA1,HOT_T2,PST_NaN,PST,NaN,i8j0,PST,4,16,NA,0,0,0
624,intra,HOT,HOTA,HOTA2,HOT_T2,PST_NaN,PST,NaN,i2j0,PST,4,4,NA,0,0,0
625,intra,HOT,HOTA,HOTA2,HOT_T2,PST_NaN,PST,NaN,i4j0,PST,4,8,NA,0,0,0
626,intra,HOT,HOTA,HOTA2,HOT_T2,PST_NaN,PST,NaN,i8j0,PST,4,16,NA,0,0,0
