treatment,species,distribution,gender,age,round,position,order,rep,kd.t,rc.t
5C,PAN,lowland,M,10,C,9,3,MC3,5,19
5C,PAN,lowland,M,10,C,9,4,MC4,7,15
5C,PAN,lowland,M,10,C,9,5,MC5,6,15
5C,PAN,lowland,M,10,C,9,6,MC6,5,20
5C,PAN,lowland,M,10,C,9,7,MC7,6,30
5C,PSA,widespread,F,9,A,1,1,FA1,4,35
5C,PSA,widespread,F,9,A,1,2,FA2,6,21
5C,PSA,widespread,F,9,A,1,3,FA3,4,18
5C,PSA,widespread,F,9,A,1,4,FA4,5,17
5C,PSA,widespread,F,9,A,1,5,FA5,6,17
5C,PSA,widespread,F,9,A,1,6,FA6,4,23
5C,PSA,widespread,F,9,A,1,7,FA7,5,23
5C,SIM,lowland,F,9,A,2,1,FA1,7,13
5C,SIM,lowland,F,9,A,2,2,FA2,9,10
5C,SIM,lowland,F,9,A,2,3,FA3,11,13
5C,SIM,lowland,F,9,A,2,4,FA4,10,11
5C,SIM,lowland,F,9,A,2,5,FA5,9,11
5C,SIM,lowland,F,9,A,2,6,FA6,10,12
5C,SIM,lowland,F,9,A,2,7,FA7,7,9
5C,BIP,lowland,F,9,A,3,1,FA1,6,13
5C,BIP,lowland,F,9,A,3,2,FA2,5,18
5C,BIP,lowland,F,9,A,3,3,FA3,5,16
5C,BIP,lowland,F,9,A,3,4,FA4,6,33
5C,BIP,lowland,F,9,A,3,5,FA5,7,14
5C,BIP,lowland,F,9,A,3,6,FA6,5,35
5C,BIP,lowland,F,9,A,3,7,FA7,5,13
5C,PAL,highland,F,9,A,4,1,FA1,7,24
5C,PAL,highland,F,9,A,4,2,FA2,8,30
5C,PAL,highland,F,9,A,4,3,FA3,7,30
5C,PAL,highland,F,9,A,4,4,FA4,7,33
5C,PAL,highland,F,9,A,4,5,FA5,5,31
5C,PAL,highland,F,9,A,4,6,FA6,6,31
5C,PAL,highland,F,9,A,4,7,FA7,4,25
5C,MEL,control,F,9,A,5,1,FA1,13,3
5C,MEL,control,F,9,A,5,2,FA2,18,2
5C,MEL,control,F,9,A,5,3,FA3,12,10
5C,MEL,control,F,9,A,5,4,FA4,17,2
5C,MEL,control,F,9,A,5,5,FA5,13,7
5C,MEL,control,F,9,A,5,6,FA6,9,7
5C,MEL,control,F,9,A,5,7,FA7,14,2
5C,BUN,lowland,F,9,A,6,1,FA1,5,33
5C,BUN,lowland,F,9,A,6,2,FA2,7,20
